time_s,angle_deg,angular_vel_dps,pid_output,setpoint
3.5600,0.0000,-0.0000,-0.0000,0.0000
3.5700,0.0000,-0.0000,-0.0000,0.0000
3.5800,0.0000,-0.0000,-0.0000,0.0000
3.5900,0.0000,-0.0000,-0.0000,0.0000
3.6000,0.0000,-0.0000,-0.0000,0.0000
3.6100,0.0000,-0.0000,-0.0000,0.0000
3.6200,0.0000,-0.0000,-0.0000,0.0000
3.6300,0.0000,-0.0000,-0.0000,0.0000
3.6400,0.0000,-0.0000,-0.0000,0.0000
3.6500,0.0000,-0.0000,-0.0000,0.0000
3.6600,0.0000,-0.0000,-0.0000,0.0000
3.6700,0.0000,-0.0000,-0.0000,0.0000
3.6800,0.0000,-0.0000,-0.0000,0.0000
3.6900,0.0000,-0.0000,-0.0000,0.0000
3.7000,0.0000,-0.0000,-0.0000,0.0000
3.7100,0.0000,-0.0000,-0.0000,0.0000
3.7200,0.0000,-0.0000,-0.0000,0.0000
3.7300,0.0000,-0.0000,-0.0000,0.0000
3.7400,0.0000,-0.0000,-0.0000,0.0000
3.7500,0.0000,-0.0000,-0.0000,0.0000
3.7600,0.0000,-0.0000,-0.0000,0.0000
3.7700,0.0000,-0.0000,-0.0000,0.0000
3.7800,0.0000,-0.0000,-0.0000,0.0000
3.7900,0.0000,-0.0000,-0.0000,0.0000
3.8000,0.0000,-0.0000,-0.0000,0.0000
3.8100,0.0000,-0.0000,-0.0000,0.0000
3.8200,0.0000,-0.0000,-0.0000,0.0000
3.8300,0.0000,-0.0000,-0.0000,0.0000
3.8400,0.0000,-0.0000,-0.0000,0.0000
3.8500,0.0000,-0.0000,-0.0000,0.0000
3.8600,0.0000,-0.0000,-0.0000,0.0000
3.8700,0.0000,-0.0000,-0.0000,0.0000
3.8800,0.0000,-0.0000,-0.0000,0.0000
3.8900,0.0000,-0.0000,-0.0000,0.0000
3.9000,0.0000,-0.0000,-0.0000,0.0000
3.9100,0.0000,-0.0000,-0.0000,0.0000
3.9200,0.0000,-0.0000,-0.0000,0.0000
3.9300,0.0000,-0.0000,-0.0000,0.0000
3.9400,0.0000,-0.0000,-0.0000,0.0000
3.9500,0.0000,-0.0000,-0.0000,0.0000
3.9600,0.0000,-0.0000,-0.0000,0.0000
3.9700,0.0000,-0.0000,-0.0000,0.0000
3.9800,0.0000,-0.0000,-0.0000,0.0000
3.9900,0.0000,-0.0000,-0.0000,0.0000
4.0000,0.0000,-0.0000,-0.0000,0.0000
4.0100,0.0000,-0.0000,-0.0000,0.0000
4.0200,0.0000,-0.0000,-0.0000,0.0000
4.0300,0.0000,-0.0000,-0.0000,0.0000
4.0400,0.0000,-0.0000,-0.0000,0.0000
4.0500,0.0000,-0.0000,-0.0000,0.0000
4.0600,0.0000,-0.0000,-0.0000,0.0000
4.0700,0.0000,-0.0000,-0.0000,0.0000
4.0800,0.0000,-0.0000,-0.0000,0.0000
4.0900,0.0000,-0.0000,-0.0000,0.0000
4.1000,0.0000,-0.0000,-0.0000,0.0000
4.1100,0.0000,-0.0000,-0.0000,0.0000
4.1200,0.0000,-0.0000,-0.0000,0.0000
4.1300,0.0000,-0.0000,-0.0000,0.0000
4.1400,0.0000,-0.0000,-0.0000,0.0000
4.1500,0.0000,-0.0000,-0.0000,0.0000
4.1600,0.0000,-0.0000,-0.0000,0.0000
4.1700,0.0000,-0.0000,-0.0000,0.0000
4.1800,0.0000,-0.0000,-0.0000,0.0000
4.1900,0.0000,-0.0000,-0.0000,0.0000
4.2000,0.0000,-0.0000,-0.0000,0.0000
4.2100,0.0000,-0.0000,-0.0000,0.0000
4.2200,0.0000,-0.0000,-0.0000,0.0000
4.2300,0.0000,-0.0000,-0.0000,0.0000
4.2400,0.0000,-0.0000,-0.0000,0.0000
4.2500,0.0000,-0.0000,-0.0000,0.0000
4.2600,0.0000,-0.0000,-0.0000,0.0000
4.2700,0.0000,-0.0000,-0.0000,0.0000
4.2800,0.0000,-0.0000,-0.0000,0.0000
4.2900,0.0000,-0.0000,-0.0000,0.0000
4.3000,0.0000,-0.0000,-0.0000,0.0000
4.3100,0.0000,-0.0000,-0.0000,0.0000
4.3200,0.0000,-0.0000,-0.0000,0.0000
4.3300,0.0000,-0.0000,-0.0000,0.0000
4.3400,0.0000,-0.0000,-0.0000,0.0000
4.3500,0.0000,-0.0000,-0.0000,0.0000
4.3600,0.0000,-0.0000,-0.0000,0.0000
4.3700,0.0000,-0.0000,-0.0000,0.0000
4.3800,0.0000,-0.0000,-0.0000,0.0000
4.3900,0.0000,-0.0000,-0.0000,0.0000
4.4000,0.0000,-0.0000,-0.0000,0.0000
4.4100,0.0000,-0.0000,-0.0000,0.0000
4.4200,0.0000,-0.0000,-0.0000,0.0000
4.4300,0.0000,-0.0000,-0.0000,0.0000
4.4400,0.0000,-0.0000,-0.0000,0.0000
4.4500,0.0000,-0.0000,-0.0000,0.0000
4.4600,0.0000,-0.0000,-0.0000,0.0000
4.4700,0.0000,-0.0000,-0.0000,0.0000
4.4800,0.0000,-0.0000,-0.0000,0.0000
4.4900,0.0000,-0.0000,-0.0000,0.0000
4.5000,0.0000,-0.0000,-0.0000,0.0000
4.5100,0.0000,-0.0000,-0.0000,0.0000
4.5200,0.0000,-0.0000,-0.0000,0.0000
4.5300,0.0000,-0.0000,-0.0000,0.0000
4.5400,0.0000,-0.0000,-0.0000,0.0000
4.5500,0.0000,-0.0000,-0.0000,0.0000
4.5600,0.0000,-0.0000,-0.0000,0.0000
4.5700,0.0000,-0.0000,-0.0000,0.0000
4.5800,0.0000,-0.0000,-0.0000,0.0000
4.5900,0.0000,-0.0000,-0.0000,0.0000
4.6000,0.0000,-0.0000,-0.0000,0.0000
4.6100,0.0000,-0.0000,-0.0000,0.0000
4.6200,0.0000,-0.0000,-0.0000,0.0000
4.6300,0.0000,-0.0000,-0.0000,0.0000
4.6400,0.0000,-0.0000,-0.0000,0.0000
4.6500,0.0000,-0.0000,-0.0000,0.0000
4.6600,0.0000,-0.0000,-0.0000,0.0000
4.6700,0.0000,-0.0000,-0.0000,0.0000
4.6800,0.0000,-0.0000,-0.0000,0.0000
4.6900,0.0000,-0.0000,-0.0000,0.0000
4.7000,0.0000,-0.0000,-0.0000,0.0000
4.7100,0.0000,-0.0000,-0.0000,0.0000
4.7200,0.0000,-0.0000,-0.0000,0.0000
4.7300,0.0000,-0.0000,-0.0000,0.0000
4.7400,0.0000,-0.0000,-0.0000,0.0000
4.7500,0.0000,-0.0000,-0.0000,0.0000
4.7600,0.0000,-0.0000,-0.0000,0.0000
4.7700,0.0000,-0.0000,-0.0000,0.0000
4.7800,0.0000,-0.0000,-0.0000,0.0000
4.7900,0.0000,-0.0000,-0.0000,0.0000
4.8000,0.0000,-0.0000,-0.0000,0.0000
4.8100,0.0000,-0.0000,-0.0000,0.0000
4.8200,0.0000,-0.0000,-0.0000,0.0000
4.8300,0.0000,-0.0000,-0.0000,0.0000
4.8400,0.0000,-0.0000,-0.0000,0.0000
4.8500,0.0000,-0.0000,-0.0000,0.0000
4.8600,0.0000,-0.0000,-0.0000,0.0000
4.8700,0.0000,-0.0000,-0.0000,0.0000
4.8800,0.0000,-0.0000,-0.0000,0.0000
4.8900,0.0000,-0.0000,-0.0000,0.0000
4.9000,0.0000,-0.0000,-0.0000,0.0000
4.9100,0.0000,-0.0000,-0.0000,0.0000
4.9200,0.0000,-0.0000,-0.0000,0.0000
4.9300,0.0000,-0.0000,-0.0000,0.0000
4.9400,0.0000,-0.0000,-0.0000,0.0000
